Ticker,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,Price,from Open,Gap
A,1.02,2.59,0.0716,0.11720000000000001,0.3186,-0.0033,1.0785,79.02,127.06,0.0045000000000000005,0.0026
AAON,0.64,2.25,0.06480000000000001,0.0819,0.2143,-0.0199,0.7121999999999999,64.54,69.31,-0.0163,-0.0001
AAXN,0.55,4.84,0.005600000000000001,0.041299999999999996,0.3301,-0.0695,1.5046000000000002,53.32,125.36,0.0038,0.0026
AB,1.45,0.9,0.0529,0.086,0.2676,-0.032400000000000005,1.6352000000000002,66.36,34.89,-0.0085,0.0063
ABBV,0.8,2.14,0.021,0.0668,0.1589,-0.0172,0.7149,61.44,107.27,0.0032,0.0021
ABC,0.51,2.83,0.1124,0.0877,0.13470000000000001,-0.011000000000000001,0.527,73.06,110.03,-0.0004,-0.0005
ABR,1.86,0.43,0.0037,0.050499999999999996,0.3722,-0.0725,3.0141000000000004,55.06,14.21,-0.0139,0.0063
ABST,,0.39,0.04769999999999999,0.09759999999999999,0.198,-0.1355,1.4612,60.3,12.06,0.0033,0.005
ABT,0.75,1.98,0.030299999999999997,0.0241,0.11810000000000001,-0.030699999999999998,0.8116,64.14,111.61,-0.0005,0.0033
ACA,,1.9,0.1091,0.1524,0.3675,-0.0182,1.1677,71.87,61.0,-0.0059,0.0059
ACAD,1.24,2.04,-0.0111,0.0116,0.133,-0.09519999999999999,0.7698,48.88,53.13,-0.039900000000000005,0.0064
ACCD,,4.64,-0.009000000000000001,0.0834,0.25379999999999997,-0.23879999999999998,0.7319,53.04,49.67,0.042199999999999994,0.0158
ACGL,0.81,1.02,0.0421,0.07769999999999999,0.19879999999999998,-0.2459,0.741,61.37,36.44,0.0003,0.0052
ACI,,0.58,0.0379,0.0638,0.1101,-0.0679,0.2866,56.51,16.61,-0.0125,-0.0018
ACIA,0.76,1.81,0.11259999999999999,0.1373,0.1653,0.083,0.3131,83.78,79.6,0.027200000000000002,0.0696
ACLS,1.47,0.93,0.0904,0.1703,0.2585,0.0044,1.4387999999999999,71.61,31.68,-0.0097,0.0172
ACMR,,6.03,0.3332,0.3036,0.483,-0.0888,5.5053,76.07,103.76,0.0166,0.0182
ADBE,0.96,11.17,-0.010700000000000001,0.013300000000000001,0.1085,-0.0964,0.9014,49.03,485.1,0.0106,0.004699999999999999
ADI,1.32,3.41,0.0817,0.1359,0.3086,0.0034000000000000002,0.9822,75.74,156.74,0.0046,0.0026
ADSK,1.34,7.81,0.0776,0.16829999999999998,0.3775,0.010700000000000001,1.551,73.21,319.85,0.0109,0.0038
ADTN,1.47,0.62,0.0579,0.1709,0.37579999999999997,-0.0278,2.2771,66.73,15.73,0.0077,0.0
AFMD,2.56,0.46,-0.0313,0.175,0.6452,-0.1716,3.3520999999999996,53.71,6.18,-0.044800000000000006,0.004699999999999999
AFYA,,1.12,0.0443,0.001,0.0761,-0.17620000000000002,0.8255,54.77,25.52,0.0103,0.0052
AG,,0.63,0.0329,0.1358,0.2569,-0.1057,2.1247,54.6,13.03,-0.0398,-0.031400000000000004
AGCO,1.29,3.12,0.11560000000000001,0.1966,0.601,-0.0245,2.1727000000000003,73.4,112.09,-0.022799999999999997,-0.0009
AGNC,0.99,0.23,0.0044,0.0288,0.1341,-0.20920000000000002,1.4864,56.46,15.54,0.0039000000000000003,0.0032
AGRO,1.24,0.22,0.1222,0.2373,0.5057,-0.14550000000000002,1.1994,74.16,7.28,-0.0040999999999999995,-0.0040999999999999995
AGX,0.55,1.56,0.0172,0.0206,0.11810000000000001,-0.1384,0.6034,53.88,45.94,-0.0165,0.0017000000000000001
AHCO,,2.35,0.0313,0.1551,0.6591,-0.0408,2.7064999999999997,57.96,38.14,-0.009399999999999999,0.0169
AKTS,1.66,0.83,0.1991,0.4472,0.639,0.0163,2.5757999999999996,74.92,13.44,0.0147,0.0279
ALBO,1.5,1.71,-0.0431,0.0208,0.271,-0.23329999999999998,2.3366,47.23,37.57,-0.0077,0.0064
ALG,0.99,4.53,0.0432,0.0695,0.3046,-0.06509999999999999,1.0365,59.43,144.57,-0.0278,-0.0049
ALGN,1.71,16.06,0.086,0.1573,0.7401000000000001,0.016399999999999998,3.4614,74.76,570.53,0.0158,0.0059
ALPN,1.54,1.09,-0.0159,0.273,0.7323000000000001,-0.179,5.5561,57.03,13.44,0.009000000000000001,0.0068000000000000005
ALRM,1.15,3.88,0.1177,0.32159999999999994,0.6976,-0.005699999999999999,2.2838,70.35,105.08,-0.013300000000000001,0.0095
ALTG,,0.44,0.099,0.1574,0.3711,-0.0398,1.8886,64.56,10.37,-0.048600000000000004,0.0158
ALTM,3.96,3.59,0.0165,0.2693,1.5009000000000001,-0.18710000000000002,4.0755,57.57,47.71,-0.0362,-0.0026
ALTR,,1.66,0.0451,0.1439,0.457,-0.0106,1.6262999999999999,73.73,60.51,-0.008199999999999999,0.0031
ALXN,1.25,3.21,0.045899999999999996,0.1782,0.3757,-0.0167,1.1653,72.71,157.35,0.0044,0.0058
AMAT,1.48,2.56,0.0929,0.20129999999999998,0.5075999999999999,0.0053,1.6081,77.09,95.56,-0.0076,0.0183
AMD,2.19,3.17,0.0163,0.0764,0.33039999999999997,-0.0347,1.5736,57.64,94.58,-0.0148,0.0088
AMED,0.72,8.31,0.0794,0.1673,0.3724,0.0073,1.3097,76.85,307.07,0.0127,-0.0007000000000000001
AMKR,1.68,0.53,0.09359999999999999,0.1746,0.3786,-0.014499999999999999,2.0869999999999997,70.51,16.67,-0.0223,0.0155
AMRC,0.47,2.85,0.22920000000000001,0.34340000000000004,0.9556999999999999,0.0173,3.58,76.94,61.28,0.0129,0.01
AMSC,1.27,1.86,0.26539999999999997,0.5540999999999999,1.4536000000000002,-0.057999999999999996,5.6773,73.52,29.38,-0.0461,0.0246
AMYT,,0.55,-0.009399999999999999,0.0083,0.09119999999999999,-0.1419,0.6835,49.64,13.3,-0.0256,0.0052
AMZN,1.15,66.86,-0.0046,0.0034000000000000002,0.09630000000000001,-0.10400000000000001,0.9573,48.71,3182.7,0.0002,0.0063
ANGO,0.88,0.94,0.2491,0.3791,0.6995999999999999,-0.0489,1.482,83.19,18.57,-0.0229,0.0232
ANIK,1.13,2.3,0.0102,0.10460000000000001,0.20079999999999998,-0.19329999999999997,0.9473,52.8,42.86,-0.0759,0.0091
ANSS,1.23,9.03,0.0605,0.1131,0.2323,0.0023,0.8726,66.97,374.66,0.022099999999999998,0.0042
