Ticker,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,Price,from Open,Gap
STZ,1.19,5.58,0.025699999999999997,0.0542,0.20879999999999999,-0.0533,1.1857,59.49,227.93,0.0126,0.0070999999999999995
SUI,0.54,3.5,0.0268,0.025099999999999997,0.046799999999999994,-0.1446,0.5609000000000001,55.74,148.82,0.0074,0.0054
SUMO,,2.95,0.11410000000000001,0.22769999999999999,0.4205,-0.2191,1.167,62.29,36.21,0.0115,-0.0301
SVMK,,1.05,0.0541,0.129,0.2304,0.0051,1.9561000000000002,62.96,27.64,0.0128,0.0149
SWAV,,6.23,0.0207,0.17,0.8089,-0.1121,4.8005,60.54,127.67,0.0278,0.0177
SWKS,1.19,7.75,0.0823,0.159,0.2892,-0.0567,1.6355000000000002,64.09,178.95,-0.0063,0.0055000000000000005
SYKE,0.89,1.29,0.009399999999999999,0.043899999999999995,0.2466,-0.0455,0.8698,57.15,41.36,-0.0014000000000000002,0.013000000000000001
SYRS,2.0,1.14,0.0235,0.1183,0.2084,-0.2109,1.8991,54.98,12.35,0.045700000000000005,0.0137
SYX,0.5,1.37,0.1333,0.24850000000000003,0.8126000000000001,-0.0086,2.3945,82.28,44.96,0.0078000000000000005,0.0060999999999999995
TAL,0.11,3.65,0.10460000000000001,0.1307,0.1496,-0.0481,0.7801,63.28,80.37,0.0118,0.0004
TBBK,1.5,0.75,0.1012,0.252,0.7631999999999999,-0.031200000000000002,4.4582999999999995,73.7,18.34,-0.0097,-0.0011
TBIO,,1.98,0.3306,0.3822,0.7837999999999999,0.1007,3.5471,76.15,30.92,0.1507,0.0064
TDOC,0.22,13.49,0.1331,0.2985,0.39020000000000005,-0.0329,1.7941,72.05,285.03,0.018000000000000002,0.011399999999999999
TEAM,0.83,9.43,0.0516,0.0524,0.2577,-0.024900000000000002,1.2162,58.48,243.8,0.015700000000000002,-0.004
TECH,1.1,14.88,0.1039,0.1747,0.3749,-0.0479,1.4531999999999998,67.5,380.67,-0.0166,0.011399999999999999
TEL,1.38,3.36,0.006999999999999999,0.0524,0.301,-0.0296,1.6339,58.33,128.06,-0.018500000000000003,0.0123
TER,1.35,4.63,-0.041299999999999996,0.0294,0.3749,-0.12050000000000001,1.9419,50.01,126.12,-0.0087,0.013600000000000001
TFC,1.32,1.55,0.034300000000000004,0.07919999999999999,0.2699,-0.0501,1.1945000000000001,60.66,52.69,-0.0215,0.009000000000000001
TGNA,1.25,0.57,0.0999,0.1671,0.3713,-0.0557,0.7992,71.77,17.29,0.0064,0.009399999999999999
TGT,0.99,4.67,-0.0039000000000000003,0.0429,0.2786,-0.0555,1.0945,55.69,188.86,-0.0044,0.0058
THO,2.44,5.35,0.0904,0.1838,0.2473,-0.08349999999999999,2.7489,68.93,121.09,0.0044,0.011000000000000001
TLND,0.82,2.14,0.12240000000000001,0.20199999999999999,0.2961,-0.0421,1.6606999999999998,69.1,48.69,0.0144,0.0046
TME,,1.26,0.0348,0.23129999999999998,0.6087,-0.1106,1.7819999999999998,60.07,25.65,-0.0195,0.0373
TMHC,1.72,1.37,0.0788,0.1002,0.2577,-0.0706,3.5243,60.06,28.91,0.058600000000000006,0.0048
TMO,0.83,13.77,-0.026099999999999998,0.0229,0.16210000000000002,-0.0751,0.9686,48.19,492.56,0.0021,0.0053
TOL,1.58,1.86,0.10099999999999999,0.145,0.3256,-0.0222,3.0376999999999996,69.32,53.62,0.0278,0.0031
TPB,0.58,2.38,0.1606,0.2259,0.6636,-0.0118,2.8501999999999996,76.26,54.25,0.0046,0.010700000000000001
TPC,1.5,0.82,0.052300000000000006,0.163,0.3557,-0.051699999999999996,5.4598,62.81,16.86,0.0187,0.0091
TPRE,1.17,0.28,0.0059,0.023700000000000002,0.1804,-0.1432,0.75,55.51,9.87,0.0,0.013300000000000001
TPVG,1.88,0.32,0.0658,0.1012,0.29309999999999997,-0.0034000000000000002,4.218,74.49,14.5,0.0,0.0083
TPX,1.99,1.01,0.0102,0.050199999999999995,0.32659999999999995,-0.047599999999999996,4.1673,55.44,28.42,-0.0146,0.0073
TRC,0.68,0.46,0.0729,0.1313,0.1816,-0.0012,0.4175,68.76,17.18,-0.0058,0.009300000000000001
TRGP,2.97,1.25,0.0351,0.1007,0.5139,-0.24739999999999998,7.259600000000001,60.71,30.23,-0.0069,0.021099999999999997
TROW,1.18,4.3,0.014499999999999999,0.0506,0.1844,-0.0541,0.9375,57.32,159.86,-0.0098,0.005600000000000001
TRQ,2.09,0.64,0.0548,0.062400000000000004,0.4142,-0.1409,3.1713999999999998,57.87,12.56,0.038900000000000004,0.0
TSCO,1.0,4.8,0.0048,0.0472,0.1124,-0.057999999999999996,1.3713,55.64,151.5,0.0361,-0.0001
TSM,1.0,4.7,0.0146,0.1317,0.557,-0.0613,1.9925,58.56,127.78,-0.0078000000000000005,0.0049
TSN,0.77,1.61,0.0174,0.009399999999999999,0.0666,-0.2181,0.5546,56.3,66.18,-0.0039000000000000003,0.0033
TTC,0.76,1.94,-0.0016,0.0358,0.2314,-0.0375,0.8855,55.7,98.18,0.013600000000000001,0.0064
TTD,2.57,37.06,0.0753,0.009399999999999999,0.5286,-0.121,5.2872,58.2,855.06,-0.008100000000000001,0.009300000000000001
TTEC,0.78,2.92,0.09230000000000001,0.1466,0.5347,0.0040999999999999995,2.3265000000000002,68.37,85.05,0.0161,0.0137
TTGT,0.97,3.09,0.2198,0.41979999999999995,1.0509,0.0483,4.2804,88.78,88.79,0.042699999999999995,0.006999999999999999
TU,0.76,0.31,0.0134,0.0443,0.15960000000000002,-0.0070999999999999995,0.5598,61.23,21.12,0.008100000000000001,0.0048
TUP,3.04,2.1,0.0742,0.06269999999999999,0.8733,-0.0751,30.0348,60.27,35.69,0.0062,0.0149
TWLO,1.5,15.97,0.0676,0.1392,0.5079,-0.0104,4.8784,62.64,400.06,0.001,0.0005
TWTR,0.73,2.25,0.1454,0.1257,0.3851,0.0046,1.839,68.72,56.78,0.005,-0.0002
TXG,,8.92,0.0575,0.1726,0.5509000000000001,-0.0298,2.8036000000000003,63.71,185.54,0.0088,0.011399999999999999
UBSI,1.36,1.28,-0.006500000000000001,0.056100000000000004,0.22399999999999998,-0.0594,0.7478,53.96,34.38,-0.0129,0.0104
UCBI,1.33,1.16,0.0106,0.0955,0.4596,-0.0304,1.109,58.01,31.53,-0.0223,0.0078000000000000005
UCTT,2.03,2.07,0.0999,0.2332,0.6905,-0.0038,2.7506,67.91,44.22,0.0077,0.0083
UFPI,1.46,2.18,0.061,0.0909,0.15130000000000002,-0.0489,1.0932,62.83,61.06,0.0063,0.006999999999999999
UHAL,0.87,15.39,0.0066,0.0592,0.3126,-0.0837,1.1554,56.21,476.46,-0.0495,0.011399999999999999
UMH,1.05,0.42,0.0507,0.0565,0.1612,-0.045599999999999995,0.8436,61.67,15.91,-0.005,0.0101
UNFI,1.47,1.93,0.1162,0.35090000000000005,0.4632,-0.1784,4.288,60.18,26.44,-0.012,0.0269
UPLD,1.0,1.86,0.0593,0.1015,0.3075,-0.009300000000000001,1.4578,62.66,51.0,0.009899999999999999,0.0088
UPWK,,2.79,0.2255,0.3518,1.3997,0.04019999999999999,9.037,73.83,51.59,0.0297,0.0152
UTZ,,0.91,0.0479,0.1099,0.4579,-0.027999999999999997,1.4340000000000002,61.59,23.94,0.024,0.0009
VALE,1.08,0.63,-0.0128,0.029900000000000003,0.42810000000000004,-0.0916,1.7055,52.71,17.26,0.0298,0.0158
